,instance,alg,nodes,first_primal,ttfs,first_primal_gap,primal,dual,time,mem,primal_integral,expanded/fails/iters,generated/branches/nodes,primal_intergal
1098,random-70-13.12-0,CP-DEL,70,3569.0,43.0,1.5007140724785166,1517.0,17.0,1800.0,0,0,420999,866361,0.10825021239824875
1099,random-70-10.00-0,CP-DEL,70,2159.0,3.46,0.2447171211451756,1871.0,17.0,1800.01,0,0,329918,678203,0.10894822550394831
1100,random-70-16.00-0,CP-DEL,70,3871.0,34.96,1.9282423121297694,1401.0,17.0,1800.0,0,0,385950,818687,0.2098410458178548
1101,random-80-4.00-0,CP-DEL,80,0,0,0,0,0.0,1800.02,0,0,8847,24040,-1
1102,random-80-7.12-0,CP-DEL,80,0,0,0,0,0.0,1800.01,0,0,11495,29660,-1
1103,random-80-10.00-0,CP-DEL,80,3795.0,99.0,1.0595846593124265,2036.0,12.0,1800.01,0,0,203304,425055,0.1753867420719721
1104,random-80-13.12-0,CP-DEL,80,3594.0,37.92,1.3114614192424425,1725.0,12.0,1800.01,0,0,208427,438799,0.1566716800821796
1105,random-80-16.00-0,CP-DEL,80,1962.0,144.27,0.4222522409608169,1573.0,12.0,1800.01,0,0,342415,721333,0.18663009309200626
1106,random-90-6.00-0,CP-DEL,90,0,0,0,0,0.0,1800.01,0,0,7792,23611,-1
1107,random-90-9.64-0,CP-DEL,90,3124.0,177.44,0.34506049349554513,2779.0,17.0,1800.0,0,0,31199,72016,0.2138889704307991
1108,random-90-13.00-0,CP-DEL,90,4645.0,357.96,1.4305899568121432,2183.0,17.0,1800.0,0,0,65198,142349,0.40370677967470425
1109,random-90-16.64-0,CP-DEL,90,4655.0,8.38,1.8063521552088593,1869.0,17.0,1800.01,0,0,231942,488197,0.3076107302972889
1110,random-90-20.00-0,CP-DEL,90,1901.0,8.62,0.28104944425636236,1665.0,17.0,1800.02,0,0,263244,547884,0.16660966368012028
1111,random-100-6.00-0,CP-DEL,100,0,0,0,0,0.0,1800.02,0,0,5979,21647,-1
1112,random-100-10.68-0,CP-DEL,100,3339.0,564.1,0.41034533200312084,2918.0,15.0,1800.0,0,0,68912,151547,0.29742793678180207
1113,random-100-15.00-0,CP-DEL,100,5183.0,9.82,1.659181837858708,2278.0,15.0,1800.01,0,0,208753,435407,0.21627443716243322
1114,random-100-19.68-0,CP-DEL,100,2398.0,102.34,0.42882487522658447,2029.0,15.0,1800.0,0,0,244718,512817,0.24182548320055275
1115,random-100-24.00-0,CP-DEL,100,2061.0,7.18,0.3488292962034806,1693.0,15.0,1800.02,0,0,474419,1004432,0.14667477616612584
1116,random-150-19.68-0,CP-DEL,150,0,0,0,0,0.0,1800.04,0,0,1497,25348,-1
1117,random-150-32.80-0,CP-DEL,150,7360.0,1749.58,2.9444215715299586,7360.0,0.0,1800.04,0,0,2301,28287,2.9444215715299586
1118,random-150-6.00-0,CP-DEL,150,0,0,0,0,0.0,1800.05,0,0,4453,30516,-1
1119,random-150-46.40-0,CP-DEL,150,2195.0,19.21,0.3510252494046823,1716.0,11.0,1800.04,0,0,110548,254700,0.11240328877748469
1120,random-10-0.00-0,CP-RANK-ADD,10,0,0,0,0,0.0,0.07,0,0,64,118,-1
1121,random-10-1.30-0,CP-RANK-ADD,10,0,0,0,0,0.0,0.08,0,0,123,236,-1
